,GE,GE Volume,DE,DE Volume,GD,GD Volume,CAT,CAT Volume,UTX,UTX Volume
0,40.950001,-0.07974392560029318,21.700001,0.003024450778336798,40.005001,-0.0031177964316264975,25.825001,-0.013360012913899181,32.169998,-0.06048864738613038
1,40.610001000000004,-0.08273463944328587,22.174999,-0.08199512012426642,40.5,-0.012817890188344503,26.165001,-0.02736738612025348,33.0,0.0008516351015404814
2,40.950001,-0.046754427346485175,22.514999,-0.03141207261874832,41.404999,-0.013035795630122377,26.93,0.0025421388741589702,32.91,-0.01472774858269825
3,39.360001000000004,0.0704577273437972,22.290001,-0.04330131384328579,41.974998,0.017649252489325258,26.575001,-0.0338719448084516,32.924999,0.007720726998682103
4,38.950001,0.01854333403652678,22.01,-0.03828751030754822,41.099998,-0.020655882897142513,25.674999,0.024293942659423636,32.419998,-0.046424712842085776
5,38.549999,-0.04157337456025882,21.525,-0.04914580672222248,40.5,0.017107790482483273,25.780001000000002,-0.023762220161105553,32.584998999999996,0.07998074114139665
6,38.610001000000004,-0.12488415348689323,21.075001,-0.04462151654944154,39.634997999999996,0.04682216890673857,25.57,-0.03789040139783694,32.174999,0.01449067736328766
7,38.23,-0.093354881195241,21.74,-0.026012591887954017,38.700001,0.04732401174234822,25.41,-0.03882825321260647,31.92,0.00828725004174533
8,37.900002,-0.03179474839946251,21.5,-0.07581686813422293,38.799999,0.01577394505099448,25.245001000000002,-0.03285779318502286,31.120001000000002,0.17991540593774982
9,38.709998999999996,0.047857828456708426,21.23,-0.0751938511268236,38.625,0.025064640704978304,24.875,-0.025882719010092915,30.559998999999998,0.22537888014357374
10,37.720001,-0.00029296990207681013,20.84,-0.06949027876146532,37.634997999999996,0.0670807717968753,24.01,-0.005946214839178747,29.684998999999998,0.09657986630314919
11,38.75,-0.005402233336607219,21.290001,-0.0785314422378915,37.849998,0.03400536701307645,24.655001000000002,-0.014053069509220388,31.674999,0.3095642043427692
12,38.68,-0.07449108346237089,21.5,-0.07769333602555667,38.759997999999996,0.04797112487247644,24.49,-0.024636488801992394,31.825001,0.02172800923842038
13,38.299999,-0.08771254363854285,21.25,-0.08033374143786817,39.375,0.020138657081757314,24.09,-0.026372309448989547,32.375,0.02043916931545154
14,37.650002,-0.006297309083284295,21.219998999999998,-0.05033992265307123,39.575001,0.08465847743362365,24.379998999999998,0.014152426425136252,32.099998,0.04732068770880164
15,37.549999,-0.05390892358784256,21.32,-0.07812351443542766,41.689999,0.06700153345441061,24.549999,-0.03775687673268332,32.775002,0.0348996699896404
16,38.259997999999996,-0.1093257207980661,21.895,-0.06701304447013937,42.0,0.04637975482797744,25.049999,-0.03635486774857023,33.200001,-0.013807148637720507
17,38.150002,-0.13672634165069422,21.985001,-0.06376445578869994,42.955002,0.008378366420957607,25.415001,-0.02254778153994637,33.860001000000004,0.1186176126783087
18,36.459998999999996,0.20490849103919473,21.469998999999998,-0.06724296741334626,42.275002,0.012287457982548527,24.85,-0.025370874460337343,33.0,0.1246935723151618
19,36.880001,0.6022915739035204,21.415001,0.0017264986795881665,42.674999,0.055644037701139695,25.1,0.01231169354123268,32.98,0.23379174733306265
20,37.150002,0.12370556967299438,21.985001,-0.009532308668414249,44.779999,0.09527641532389088,25.139999,-0.025809598360127833,34.365002000000004,0.1548042720539723
21,36.849998,-0.036189173183063104,21.674999,-0.04025298062851043,44.724998,0.11347482130994589,25.26,-0.03171647521382876,35.025002,0.19111839911432513
22,35.0,0.25701686833934567,22.094998999999998,0.04294945733584471,44.490002000000004,0.0584305860778143,24.514999,-0.030896252270742195,33.494999,0.08117043953182942
23,36.209998999999996,0.32781644344169353,21.66,-0.03438623714216662,44.125,0.05711655023194168,24.389999,-0.023275808880903054,33.685001,0.14459269420275764
24,36.959998999999996,0.15724952611117743,21.195,-0.03945195876185414,44.0,0.007051124184674204,24.309998999999998,0.005978809422517798,33.900002,0.11435452677925792
25,37.200001,0.01588560059076208,20.75,0.011056920052306901,42.950001,0.021221581095441287,23.715,-0.03002834194724362,33.689999,-0.05890238286555334
26,37.25,-0.003057623658878018,21.370001000000002,0.02469654239287109,43.849998,0.025051434314567522,24.25,-0.03714965742210373,34.040001000000004,-0.09513153146944668
27,37.799999,-0.10914090140327443,22.25,-0.007314664796838016,44.355,-0.026994950294316977,24.889999,-0.02244286930303995,34.549999,0.09645239861845996
28,37.5,-0.1005750570562351,22.4,0.03889242991861327,44.09,-0.028817432171004635,25.120001000000002,-0.01080079016512133,34.200001,-0.03406034742723085
29,38.099998,-0.0634614896624474,22.67,-0.045073945566719634,44.174999,-0.024016909256686057,25.385,-0.007001695525631227,34.955002,-0.07735687099333795
30,38.0,-0.03878122700919109,23.1,-0.041283925438373635,44.185001,-0.03418582987298676,25.264999,-0.03480025914713872,34.740002000000004,-0.012348351801832698
31,37.110001000000004,-0.012290956233388129,22.52,-0.043709241645749644,45.014998999999996,-0.0008793132569992651,24.965,-0.02758038975276046,34.634997999999996,-0.04580153749471622
32,36.400002,-0.09112330156060755,22.549999,-0.0113123572609838,44.790001000000004,-0.022154808208766058,24.950001,-0.02204865362496734,34.105,-0.06165001962440999
33,37.57,-0.013838245877387922,22.545,-0.015903399255986106,46.235001000000004,-0.014897896678042375,25.549999,0.0023513893525109316,35.0,0.052405232020294096
34,37.52,0.07213943109310003,22.975,-0.04042356861863168,46.084998999999996,0.003425970016915058,25.940001000000002,-0.013763766068054196,34.575001,0.09752879240028009
