Effective date ,consumer discretionary,consumer staples,materials,industrials,energy,financials,utilities
2007-10-31,289.97,294.91,271.42,371.33,585.46,452.3,215.81
2007-11-30,269.8871428571428,294.75857142857143,252.98904761904765,355.20666666666665,560.0295238095239,407.04952380952386,212.4047619047619
2007-12-31,265.358,302.79600000000005,260.43449999999996,356.6965000000001,586.5229999999999,400.9335,219.243
2008-01-31,243.90666666666667,289.01476190476194,246.1447619047619,331.5623809523809,557.8861904761904,369.1447619047619,209.01285714285717
2008-02-29,252.74349999999998,284.4645,253.46250000000003,334.25149999999996,553.186,365.04400000000004,199.564
2008-03-31,242.90649999999997,285.72450000000003,250.75899999999996,331.18449999999996,559.2125,335.41400000000004,192.2385
2008-04-30,250.4322727272727,291.6122727272728,266.8568181818182,341.82772727272726,604.5322727272727,350.2009090909091,201.99000000000004
2008-05-31,257.627619047619,291.2966666666666,275.0385714285714,346.06523809523816,637.6361904761904,348.0895238095239,206.32809523809524
2008-06-30,241.78619047619046,285.22666666666663,272.612380952381,324.2914285714286,640.5819047619049,303.3499999999999,207.4142857142857
2008-07-31,221.15818181818187,279.7918181818182,246.61136363636362,302.77727272727276,588.3004545454546,272.0772727272727,199.46090909090915
2008-08-31,237.50809523809525,292.8633333333333,240.27666666666664,312.62666666666667,547.0547619047619,282.48904761904754,188.8404761904762
2008-09-30,235.26285714285711,291.4847619047619,222.53,292.4047619047619,508.48619047619053,277.5300000000001,176.54285714285714
2008-10-31,176.5369565217391,253.53652173913045,158.99391304347824,222.7869565217391,390.4008695652174,213.59217391304347,146.25608695652173
2008-11-30,155.2342105263158,244.46473684210525,138.23473684210524,202.46105263157892,382.98315789473685,171.03842105263158,144.97368421052633
2008-12-31,164.41000000000003,241.2022727272727,135.9036363636364,201.00409090909088,375.75590909090914,163.0140909090909,144.2581818181818
2009-01-31,163.312,238.18300000000005,136.1465,196.18050000000002,383.8625,139.43099999999998,147.9545
2009-02-28,147.2673684210526,222.52894736842106,126.13526315789474,170.80473684210526,360.4726315789474,114.18052631578949,140.51210526315788
2009-03-31,143.77363636363637,213.12409090909088,124.06409090909091,151.62727272727273,334.845,107.85636363636364,124.11818181818181
2009-04-30,172.25952380952384,224.24666666666667,144.19380952380953,180.23857142857145,353.2685714285714,138.36857142857147,130.6252380952381
2009-05-31,181.91750000000002,233.00349999999997,158.71999999999997,195.98999999999995,381.101,159.77299999999997,134.13450000000003
2009-06-30,184.4386363636364,239.47818181818184,160.59818181818184,198.28636363636363,390.0331818181819,161.925,139.00318181818182
2009-07-31,186.40318181818182,245.96909090909094,159.7759090909091,194.52954545454543,372.9072727272727,161.99227272727273,143.1936363636364
2009-08-31,204.90857142857143,252.13857142857142,179.52428571428567,216.35761904761907,392.50333333333333,190.83095238095234,147.35047619047623
2009-09-30,212.91095238095238,259.22,186.1790476190476,229.71666666666664,406.64380952380947,197.77238095238096,148.20380952380953
2009-10-31,218.36499999999998,267.94818181818175,188.12227272727276,231.4386363636363,430.46090909090907,201.18681818181815,148.54227272727275
2009-11-30,224.6205,275.1295,192.78449999999998,238.14849999999996,436.825,196.34599999999998,148.0785
2009-12-31,233.27045454545453,276.96227272727276,198.175,244.85818181818183,428.709090909091,193.61090909090908,158.12636363636364
2010-01-31,235.10789473684213,275.14000000000004,200.61315789473682,250.27842105263161,437.72,199.08473684210526,155.64157894736843
2010-02-28,233.4894736842106,275.12,188.72315789473683,245.4594736842106,418.32789473684215,191.58473684210526,148.18157894736842
2010-03-31,253.68652173913043,285.25,201.41260869565215,265.42999999999995,429.5273913043478,209.26565217391308,150.9691304347826
2010-04-30,271.86047619047616,287.4357142857143,209.0485714285714,282.00047619047626,449.29238095238094,222.19476190476192,153.47809523809522
2010-05-31,259.48050000000006,277.7755,190.19199999999998,267.13700000000006,415.0615000000001,205.03400000000002,148.76000000000005
2010-06-30,248.9690909090909,270.7568181818182,182.0863636363636,251.47181818181818,397.23363636363644,194.32727272727277,146.77045454545453
2010-07-31,241.31285714285713,274.35142857142864,184.90000000000003,250.777619047619,393.9057142857143,193.55619047619047,152.00904761904764
2010-08-31,245.29454545454544,277.2181818181818,191.6704545454545,256.28636363636366,401.0763636363636,190.46636363636364,155.66727272727275
2010-09-30,257.54952380952375,285.2261904761905,200.69285714285715,265.1457142857143,408.1280952380953,195.0790476190476,158.7404761904762
2010-10-31,271.9561904761905,293.74619047619046,211.65761904761902,277.8209523809524,438.19523809523804,196.6257142857143,161.4652380952381
2010-11-30,284.1747619047619,296.7233333333333,218.97761904761904,281.3161904761905,463.9457142857144,199.70999999999998,158.58380952380952
2010-12-31,295.0018181818182,301.4622727272727,232.7972727272727,296.8859090909091,493.67909090909086,209.69727272727275,157.9909090909091
2011-01-31,298.2875,302.6985,238.90200000000004,309.087,521.2125,220.7315,161.2915
2011-02-28,307.28578947368425,303.4873684210527,246.4578947368421,322.3747368421053,561.4773684210526,226.81842105263158,161.5257894736842
