,AAPL,AAPL Volume,ORCL,ORCL Volume,IBM,IBM Volume,AMZN,AMZN Volume,MSFT,MSFT Volume
0,1.6642860000000002,-0.000455132723628263,13.98,-0.012561038554634349,121.5,0.002961555021098455,10.96,-0.0221432522997278,33.52,-0.038974074203601876
1,1.684286,0.030869748380446413,15.29,0.20074575854089646,123.660004,0.054023323888701416,11.9,0.041044433909469935,34.615002000000004,-0.0017214494408677296
2,1.692143,-0.045830925950468615,15.45,-0.009608764892648655,125.599998,0.04773821787935691,12.25,0.06732271318142939,34.450001,-0.03015712723071361
3,1.635714,-0.03269207938991605,15.49,-0.06619472068918154,124.050003,-0.023839414345307283,12.34,0.06000610683081317,34.279999,-0.019101210783006733
4,1.615,-0.03062132913911052,15.75,-0.027876681474095926,124.699997,-0.04206477024676907,11.85,-0.0290841645494698,34.689999,-0.03971580460397768
5,1.546429,-0.07701548927574127,16.73,0.36735948798059415,124.489998,0.0022967562792324545,11.53,0.04110100560805717,34.355,0.014952558104422465
6,1.516429,-0.02959658414846548,16.690001000000002,-0.011720490245672052,122.139999,0.06286601807090157,11.04,0.0011570347363444474,34.639998999999996,-0.03481648011728485
7,1.503571,-0.0690556443691541,16.27,-0.018390058349394632,120.309998,-0.05698645379782252,11.03,-0.054676330656512236,34.305,0.008616848585422927
8,1.510714,-0.04354544697755697,16.389999,-0.04838788749170852,118.050003,0.09481119429576387,10.11,-0.030067641771063334,34.235001000000004,-0.03347462935169271
9,1.55,-0.09125774382414607,16.99,-0.01456921810148123,118.849998,-0.03230761491309384,10.29,-0.04284704342628319,34.775002,-0.014874725328233753
10,1.484286,0.013742475258794072,16.58,-0.0367877117350513,117.400002,-0.04048260730215348,9.13,0.1014485024369007,33.935001,-0.012505627712998332
11,1.6057139999999999,0.04930878013120246,17.219998999999998,0.031462983673754746,119.900002,0.12752858215964955,9.74,0.12452395323499803,34.93,0.02003138287892554
12,1.5835709999999998,-0.07284847645071166,16.48,0.0001415954913139982,114.25,0.3390594132778421,10.16,0.05000597118823818,33.049999,0.07396260794484695
13,1.558571,-0.07721320978223503,15.94,-0.01353985096949117,110.5,0.09782165846744528,12.6,0.7049669874165571,32.23,0.015972915817220143
14,1.6442860000000001,-0.033187443669626206,16.75,0.005164176183852481,107.900002,0.16825839154122152,12.47,0.14484479747880905,31.870001000000002,0.022796605862782714
15,1.657857,-0.07087764946662878,17.25,0.013730459819537811,108.720001,0.05285629727634276,14.01,0.22371154753491612,32.299999,0.029461845760896582
16,1.660714,-0.13089539030876451,16.690001000000002,-0.020362301410568485,109.279999,2.9473233829196335e-05,14.44,0.3224639749226247,31.9,-0.03733369417470058
17,1.662143,-0.13069341774836768,16.9,-0.1037915938188966,108.150002,0.00964147600377822,15.5,0.21714632938604836,31.91,-0.05141662080639727
18,1.647857,-0.11023891244754629,16.5,-0.010083248322128098,103.0,0.22494627377885204,14.22,0.1769499617052541,31.16,-0.01880038514074905
19,1.7207139999999999,-0.02244462948346567,16.620001000000002,0.01478358157765072,105.550003,0.31795713356332705,13.9,0.09726944952331519,31.424999,-0.004574317554593872
20,1.765714,-0.02363307854937973,17.26,0.04760455667071841,107.889999,0.09046532653780141,14.19,0.03538146182524992,31.855,0.0020587730382405486
21,1.743571,-0.0502615661174899,16.389999,0.03743514031822963,108.0,0.0011239235643247512,13.73,-0.0035500206973886313,31.33,-0.009622141213291765
22,1.810714,-0.003159439005994422,16.120001000000002,-0.024928062369975287,106.800003,-0.004612505754134709,12.53,0.16086184096086778,30.559998999999998,0.003479083417907535
23,1.817857,-0.028021198177370102,15.81,-0.027112878880299753,106.300003,-0.0006701621233310921,11.5,0.09094357317616267,30.575001,-0.0032871971539417365
24,1.762143,0.025390976926313084,16.040001,-0.02862525674345438,106.629997,-0.0026413339387329005,11.26,0.011796865739867447,30.200001,-0.004568576607222543
25,1.735714,-0.0694234470317715,15.92,-0.06195726084465205,103.910004,0.014312485504487367,11.24,-0.012674020290048436,29.9,-0.009905744013435455
26,1.716429,-0.06657669694365177,16.18,-0.05352315038508615,104.989998,0.04582801014072011,12.52,-0.028438666963025664,30.325001,-0.013792365383825712
27,1.784286,-0.05014888668905798,16.35,-0.10411806765484138,107.379997,-0.014192574960063969,13.3,0.020649611290583313,30.565001000000002,-0.03366254969564757
28,1.765,-0.11632997966372477,16.18,-0.10255087142371096,106.57,-0.06389571583118969,12.9,-0.008452901241615999,30.07,-0.045002451673322896
29,1.786429,-0.08269623329027144,16.120001000000002,-0.12020969502764932,108.07,-0.048593732563173585,13.29,-0.029088516218591893,30.91,-0.027406830710021892
30,1.7571430000000001,-0.10270427293126824,16.32,-0.0766772108321099,107.889999,-0.027418876566795397,13.88,0.01791966419465553,30.84,-0.0214775802649125
31,1.707143,-0.1026978948504136,15.49,-0.05215451846462363,102.889999,0.33221982447506354,13.41,-0.011325002862198895,30.115,-0.03503999433494196
32,1.6157139999999999,-0.05331666684686111,14.79,0.01097918684013006,101.300003,0.1926207978370271,13.01,0.003564958317237178,29.465,-0.031054245939940075
33,1.6521430000000001,-0.09310951329894239,15.51,-0.011460407544275747,99.309998,0.22540495588022683,12.96,-0.00043567616234243097,29.950001,-0.03444255307849891
34,1.535714,-0.03186930695966786,15.26,-0.05400433383731819,96.379997,0.09785939813401409,13.26,0.003337220966514191,29.025,-0.017398828522495077
35,1.6242860000000001,-0.04715969279518469,15.5,-0.07820420692672475,98.449997,0.10772686941612122,13.07,-0.0026216646180083013,28.995001000000002,0.005468130317160924
