,consumer discretionary,consumer staples,materials,industrials,energy,financials,utilities
0,-0.07177358715505802,-0.0005136057171591572,-0.07032123890603537,-0.04439137540749436,-0.04440835959889164,-0.10541081832194785,-0.015904682322957157
1,-0.016924024519025232,0.026902692107331084,0.029005192290663877,0.004185500438966854,0.04622237958296699,-0.015139280018964188,0.03168699508825362
2,-0.08429421922444476,-0.04658154537324741,-0.056431564154474326,-0.07306931039169363,-0.05005690115227975,-0.08260670235029866,-0.0477849362160387
3,0.0355895020031318,-0.015869300598833246,0.029296057211203475,0.008077733872995166,-0.008460689691206337,-0.011170981530209465,-0.0462607806136603
4,-0.039698544824502614,0.004419594383423358,-0.010723564573620701,-0.009218081731856138,0.010835251864309893,-0.0846523045398767,-0.03739819823776474
5,0.030511919980988962,0.02039702694318203,0.06221993454835068,0.031631266828509384,0.0779255120708158,0.043141426045096465,0.04948140257409431
6,0.028326689668045538,-0.0010828658478775175,0.030199094502040908,0.012320417965147315,0.05331283023347461,-0.0060473167506105135,0.021249405900745085
7,-0.06346138008030835,-0.02105803513764379,-0.00886041131981483,-0.06498472428246238,0.004609103112436662,-0.13757244462867996,0.005250576308284236
8,-0.08917562488151633,-0.019238365667703938,-0.10023726533254183,-0.06864512070723897,-0.08513919493604648,-0.10880113752939952,-0.03909990071049422
9,0.07132350778601403,0.045660240927403825,-0.026022633737330225,0.03201225868140523,-0.07268888392999066,0.03755366348593534,-0.05471565538785915
10,-0.00949827803017848,-0.004718331410195894,-0.07672911320364165,-0.06687070705740944,-0.07311085283484668,-0.017710744893505118,-0.0673389537644094
11,-0.2871731902290831,-0.13947984702391647,-0.33619600523601595,-0.271923050426853,-0.26426397584117794,-0.2618605680204003,-0.1882045581101639
12,-0.1285952277403441,-0.03643680971224738,-0.1399126870231295,-0.09566842753543255,-0.019183067857802376,-0.22218025164774982,-0.008806867715071075
13,0.05742829591555054,-0.013435185526066434,-0.017007153277108628,-0.007222274731223102,-0.019051259415635746,-0.04805157141774067,-0.004947614256524666
14,-0.006700826361643143,-0.012596601616164058,0.0017854334066948788,-0.024290106820801655,0.021344660914705275,-0.15626678912657266,0.02530017057483823
