,EL,EL Volume,UL,UL Volume,NKE,NKE Volume,HAS,HAS Volume,SNE,SNE Volume
0,16.07,-0.009903618078778771,18.538889,-0.07960323415318597,7.115,-0.0401521829872052,16.200001,-0.043881116920943625,45.950001,-0.056506756021891036
1,16.190001000000002,0.007652257878719456,18.377777,-0.11549998186086656,7.0625,-0.025711087907106245,16.280001000000002,-0.03849628755278313,47.25,0.002418285819999502
2,16.34,0.017324054394018806,18.166666,-0.07950067201687831,7.125,0.08789593945843488,16.5,0.35128017496061953,49.57,-0.015326522412491278
3,16.415001,0.00488417983004775,17.972220999999998,-0.07642380792764855,7.14875,-0.029846747821095674,16.299999,0.03763668133886456,49.310001,-0.030627434900387517
4,16.504998999999998,0.004620553349221873,17.944445,-0.07621868365503323,7.16875,0.0003278360622239342,16.879998999999998,0.028646754342867804,47.82,-0.04010786138787261
5,16.549999,-0.0013192807968861607,17.950001,-0.07574006035226416,7.0675,-0.06499985709000582,16.809998999999998,0.032403965794663404,48.0,-0.03602289555391266
6,16.5,0.024001218853686716,17.877777,-0.08291940989380027,7.12875,-0.06617986875024737,16.969998999999998,-0.018006555465460566,48.919998,-0.029623902831351114
7,16.530001000000002,0.011614893418633414,17.838888,-0.02798029221166436,6.92875,0.031176712322824426,16.799999,-0.00798225446654032,47.549999,-0.04810069916125668
8,16.475,0.011433650213065624,17.833334,-0.08920988758733668,6.8375,-0.09082525513986371,16.690001000000002,-0.04089968597134064,47.02,-0.039541160925357935
9,16.6,-0.010735689158885444,18.0,-0.09826954296117987,7.1625,0.08240045658359567,16.77,-0.052095263414747774,45.91,-0.03728616533493496
10,16.959999,0.015326259969010209,17.938889,-0.0983037303399491,7.025,-0.10543492331428289,16.76,-0.11691096380382086,44.5,-0.032492823922831655
11,17.459999,0.009843653000584556,18.083334,-0.045142356353812606,7.1725,-0.05290754712410194,16.860001,-0.07130723938081192,45.509997999999996,-0.03880917282794315
12,17.190001000000002,0.030937890630417596,18.083334,0.049248996428002734,7.19375,-0.014034591573858918,16.450001,0.06676647862707742,44.700001,-0.06584550739374746
13,17.0,-0.012663457799924668,18.288889,-0.08196216328826213,7.25,0.02780525043642,16.610001,-0.11052218319752875,43.560001,-0.048407661911785464
14,17.0,-0.017614692642935664,18.272223,0.036941540071083676,7.27,-0.04800768918252751,16.67,-0.09669503659962511,44.91,-0.06257517347465236
15,17.1,0.009093965195735968,18.227777,-0.10090197112640979,7.3425,0.004991691671750056,16.75,-0.1038443863257139,45.860001000000004,-0.054700398297625505
16,17.51,0.019482496205780672,17.927778,-0.09881654102148739,7.32625,-0.0446474655024111,16.34,-0.04054982417623417,46.400002,-0.043755995615310836
17,17.475,0.026917586797822975,17.894444,-0.08144935260672383,7.27875,-0.053772889008279076,16.360001,-0.0367165558124589,45.200001,-0.05764015694692039
18,17.0,0.03233016798227926,17.505556,-0.04736453597381188,7.225,-0.030060273740567953,15.98,0.03530933983228672,43.700001,-0.0553851613564974
19,16.799999,0.07423030177854203,17.888889000000002,-0.05276614181934858,7.625,0.2760010363072258,16.469998999999998,0.02986366493454249,44.349998,-0.05982431497952903
20,16.15,0.12307946484282441,18.177778,-0.04083474662889094,7.48875,0.05311369099702922,16.5,-0.09263359749991083,44.759997999999996,-0.06840746573469922
21,16.200001,0.052612930350820146,18.333334,-0.09881654102148739,7.5025,-0.06610120130623126,16.42,-0.05080229591109342,43.5,-0.05670746243569832
22,15.825,0.024330751954719062,18.388889000000002,-0.07960323415318597,7.4325,-0.09162316778631276,16.01,-0.09194908529209382,43.25,-0.046589497927884214
23,15.785,0.03631339934100774,18.122223,-0.05714212630180869,7.49875,0.02352349384068638,15.5,0.04965367343165211,41.75,-0.057699188245098995
24,15.49,0.04774407878306723,18.127777,-0.06305654282888368,7.5125,-0.039073315183555786,15.39,0.07660824303724646,41.0,-0.04180796277541664
25,15.15,0.004501097600097648,18.111110999999998,-0.11584185564855876,7.50625,0.030479943532967513,14.35,0.7320058649484418,42.5,-0.056565787320069644
26,14.995,0.02037635474233091,18.138889000000002,-0.11112399737840645,7.3875,-0.039151982627571885,13.55,0.38183984219405015,42.400002,-0.06635317655808352
27,15.22,-0.005261320517985598,18.477777,0.04087308862954393,7.555,-0.02017065220711497,13.6,0.10303041425898313,43.450001,-0.07249243156865917
28,15.625,0.052555262058139485,18.611110999999998,-0.018305264019975214,7.52,-0.12139317624326383,13.59,0.12251619510817408,43.77,-0.055030973567425735
29,15.25,-0.007337379054489377,18.894444,-0.04821922044304237,7.55,-0.07361956131291313,13.25,0.06740535668770663,44.849998,-0.06415721226583916
30,15.445,0.020331043940938962,18.711111,-0.0920474400251819,7.56,-0.09276946482769026,13.5,0.3361600608590615,45.549999,-0.04998970070297227
31,15.165,-0.015312080099472146,18.855556,-0.07290250791441892,7.43875,-0.06601129565592714,13.2,0.04148516108503576,44.849998,-0.07323622592570969
32,14.995,-0.02387170239878733,18.555555,-0.08657745942210678,7.2925,-0.08355413567151818,13.14,-0.06449254006743366,44.869999,-0.04944661275972904
33,14.885,0.005897494115722214,18.844444,-0.054680635030424876,7.31625,-0.08933057370355775,13.24,-0.04797297878544977,45.400002,-0.06878526604304235
34,14.755,-0.0023531909013751458,18.883333,-0.0843552798021075,7.1875,0.039537937801107405,13.44,0.15111359401252925,45.299999,-0.05666023739715543
35,14.995,0.01702335543932679,19.177778,-0.04637310198950451,7.425,-0.044894706040747426,13.52,0.0471133725715312,46.709998999999996,-0.04810069916125668
