,consumer discretionary,consumer staples,materials,industrials,energy,financials,utilities
0,-0.06925839618876856,-0.0005134738443206269,-0.06790565316097694,-0.043420497491000826,-0.04343674408239018,-0.10004527125906731,-0.015778870743886307
1,-0.016781617713223843,0.027267836631432184,0.029429939560718488,0.004194271879281956,0.0473072848200177,-0.015025257251955007,0.03219437282815829
2,-0.08083921846461511,-0.04551327657973721,-0.05486883686776542,-0.0704635987390378,-0.04882470000973443,-0.07928680964608371,-0.046661206319667324
3,0.03623038867326293,-0.01574404668735013,0.029729408168634924,0.008110446788006558,-0.00842499878367398,-0.01110881780795747,-0.04520706176653538
4,-0.03892088223831679,0.004429375194444466,-0.010666272130986146,-0.00917572546420886,0.010894165795952792,-0.0811682975202989,-0.036707522398829476
5,0.0309821792635139,0.020606467864228515,0.0641963725402408,0.03213685203482441,0.08104213108124858,0.04408554529897092,0.05072605123323398
6,0.0287317055505152,-0.0010822797602257934,0.030659712210083796,0.012396626968560689,0.0547595541914967,-0.006029068533448893,0.021476782207511293
7,-0.06148963620434069,-0.020837862888921928,-0.008821273552973295,-0.0629182221353806,0.004619741366177066,-0.12852878569826087,0.005264384740900369
8,-0.08531508196304494,-0.019054489358808543,-0.0953772430481033,-0.06634204283144383,-0.08161555895944722,-0.10309123874312577,-0.038345365633746055
9,0.07392859393895242,0.04671871835444728,-0.025686962986173224,0.032530162685842565,-0.07010991122310256,0.038267712651660825,-0.053245685828055785
10,-0.009453311867064352,-0.004707217571010517,-0.07385930108347312,-0.0646838767067367,-0.07050221315007194,-0.017554831455749074,-0.06512173288111668
11,-0.2496182412060832,-0.13018944770097607,-0.28551695032814345,-0.2380871122943537,-0.23222916004933739,-0.23038167436657875,-0.1715547752907816
12,-0.12067017816068479,-0.0357809787512955,-0.13056585503179757,-0.09123471233459231,-0.01900024372061862,-0.19922898896911903,-0.008768200850174697
13,0.05910932546746018,-0.013345336251664378,-0.01686334803915079,-0.007196256779022575,-0.018870931148920442,-0.046915366115730515,-0.004935394973514558
14,-0.006678425886503333,-0.012517596509907494,0.0017870282419359276,-0.023997476306452107,0.021574087627001463,-0.1446690330729915,0.025622936149832395
15,-0.09824527027375463,-0.06572279563016248,-0.07353282561142051,-0.12934905945236536,-0.06093293411326346,-0.18109655445496692,-0.05030191536480552
16,-0.023723735236629503,-0.042263519288389055,-0.016420247573520837,-0.11227712105291611,-0.07109452794430708,-0.05538740171800482,-0.11667267680797133
17,0.1981301173592087,0.05218826135577595,0.16225257822159728,0.18869493717506203,0.055021193174667055,0.2828966855871328,0.05242629388970865
18,0.05606642800868006,0.03905000445937496,0.10074073584824629,0.08739210728637403,0.07878546472129665,0.15469140391087927,0.026865113939186433
19,0.013858679696215992,0.027787916568557402,0.011833302785924095,0.011716738794651156,0.023437833587899016,0.013469109298817974,0.036297013953768664
20,0.0106514854657251,0.027104386051490775,-0.0051200624936318835,-0.018946427343374022,-0.043908851577896334,0.0004154560893791751,0.030146464927225527
21,0.09927614662951313,0.02508234061718226,0.12360046477432443,0.11220955429710844,0.05254941922356203,0.17802503272629483,0.029029501117519355
22,0.03905342219991259,0.02808546320900651,0.03706886719133384,0.06174521460280686,0.0360263849745891,0.03637475202435488,0.005791181375146788
23,0.025616566729216014,0.03367094289862558,0.01043739955207697,0.007496059045068559,0.058569930266466,0.017264479564815048,0.002283768578896381
24,0.028646990131202404,0.026801145404640934,0.02478296272491993,0.02899197706048144,0.014784364328299288,-0.02406130891459994,-0.003122159899386033
25,0.038509194599132913,0.006661491142435669,0.027961272820169837,0.028174361031801078,-0.01857931457885649,-0.013929954820016197,0.06785497986786498
26,0.00787686633940845,-0.006579498028119977,0.012303054849182813,0.022136239002520045,0.021018703083251884,0.02827231056813009,-0.015713917855654718
27,-0.006883737589684269,-7.269026677341953e-05,-0.0592682958823606,-0.01925434621232341,-0.04430253418431388,-0.037672400802620416,-0.04793063685458159
28,0.08650089332179445,0.0368202965978482,0.0672384403825685,0.08135976996953033,0.026772052995774853,0.09228770320247154,0.01881172752521609
29,0.07163941673666951,0.00766245148366104,0.037912039282792305,0.06242879927090501,0.04601566756432619,0.06178323865640369,0.016619058453121713
30,-0.045537977288769994,-0.033608260232101596,-0.09020186696188166,-0.05270727337508722,-0.07618842963644398,-0.0772329723601559,-0.030741163621921745
31,-0.04050943747568373,-0.025267461738640903,-0.04261817722951751,-0.05864100374782181,-0.04295234233086818,-0.05221927715757996,-0.013374196387103524
32,-0.03075174407504824,0.01327615833923938,0.015452207993210482,-0.0027605444586926388,-0.008377744917038445,-0.003967956943256621,0.03569242249618247
33,0.016500108443584332,0.010449201091026128,0.036616844485962516,0.021966651608166965,0.01820397392216607,-0.01596346173287033,0.024065837958494735
34,0.04996025627993113,0.028887025394535193,0.04707247456995512,0.03456817024381709,0.017582017393887418,0.024217840329489614,0.01974212953924913
35,0.055937461865864326,0.029871029675695916,0.05463453986783863,0.04780480095401278,0.07367084797139994,0.007928409973002617,0.01716488428252173
36,0.04492845486317817,0.010135085845084855,0.03458415545321408,0.01258090171127692,0.058764847154454306,0.015686075066478507,-0.017845504118533636
37,0.03809999242890135,0.01597090239147378,0.06310989104620977,0.055345974180737126,0.06408805105389025,0.050008876507299425,-0.0037387198269531064
38,0.011137835822275446,0.004100769431423052,0.026223362504247023,0.04109690131960701,0.055771876099122236,0.05261979390203189,0.020891017895160856
39,0.030166498675553696,0.002606119359866847,0.03162759096550907,0.042990280542712214,0.07725230768842382,0.027576132326521438,0.00145258413297778
40,-0.00876017219936072,0.0029784960457378763,-0.02651331775332141,-0.016532062974311652,0.017110181007028578,-0.027964081794074173,-0.0055915577380858785
41,0.024930199295997973,0.03968475932009683,0.03978360854185374,0.02741496206822757,0.01989312474971343,-0.004556748847353942,0.01612096407457901
