1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,1.100000000000000000e+01
1.000000000000000000e+00,1.007809631581300325e+00,1.433742148168219988e+00,2.582607976115121495e+00,4.805274599575359851e+00,-1.582683449143800880e+00,1.083658703026334935e+00,2.196257286003385545e+00,6.542419863263674529e+00,-7.216538630108531027e-01,-1.280515260563075186e+00
2.000000000000000000e+00,1.035738285737162201e+00,1.512992545175421144e+00,2.962738810327039118e+00,4.453916786801602967e+00,-1.654772648937103074e+00,1.304263259973375444e+00,2.352336264546569300e+00,6.618998339339969839e+00,-8.691002081161882664e-01,-1.180536911198343919e+00
3.000000000000000000e+00,8.395070124013812585e-01,1.640450666898710663e+00,2.915673236981343841e+00,4.245091881533072709e+00,-1.554264700348479078e+00,1.381929481798350512e+00,2.602466352393510540e+00,6.371327601612166269e+00,-1.034518649226879417e+00,-1.076224865898146144e+00
4.000000000000000000e+00,1.068293143633359810e+00,1.530289187078790913e+00,2.853544125026338918e+00,4.291832782824567261e+00,-1.618677233481389921e+00,1.517227905746801442e+00,2.501199979020642061e+00,6.285485154188740431e+00,-1.129624158031206971e+00,-1.036985707320739580e+00
5.000000000000000000e+00,1.012603112469236066e+00,1.939084727937814945e+00,3.039683890486474915e+00,4.124201784093947332e+00,-1.500812777330565284e+00,1.652850816409118684e+00,2.756376921820638426e+00,6.199207907886125746e+00,-1.293370712392490240e+00,-7.713026056137983755e-01
6.000000000000000000e+00,1.055703374056772947e+00,1.665207495585109498e+00,3.047101570147253025e+00,4.089450208249868268e+00,-1.627550228543589883e+00,1.688130688498011844e+00,2.823011800529349635e+00,6.253639407723391663e+00,-1.364425748457780863e+00,-6.993875548952609433e-01
7.000000000000000000e+00,1.133270251276758067e+00,1.829628544175487148e+00,3.005589002735064241e+00,4.010474978020607040e+00,-1.631676871232372816e+00,1.649131204539594719e+00,2.995742275715700398e+00,6.265422031470699871e+00,-1.665222697460610579e+00,-4.177271213216532386e-01
8.000000000000000000e+00,1.125524665352127585e+00,1.934710783796541600e+00,3.443665356591412152e+00,3.853885422075182809e+00,-1.742002661655990048e+00,1.652400843648856421e+00,3.008047911544423414e+00,6.049467530115826719e+00,-1.720206922555422180e+00,-4.863054880019253012e-01
9.000000000000000000e+00,1.094637568280732998e+00,1.972058192640975927e+00,3.200180265044925587e+00,3.897701408874425510e+00,-1.778083093385703028e+00,1.668908442692993210e+00,3.267730273474313663e+00,5.813202758213277477e+00,-1.942897756581195345e+00,-3.673285998493914795e-01
1.000000000000000000e+01,9.995523488946411739e-01,2.047302800983740401e+00,3.438583273238456250e+00,3.752321458081758987e+00,-1.599316895823283957e+00,1.853692413394820049e+00,3.188739635693763397e+00,5.654972477020267618e+00,-2.048392360540446600e+00,-2.852693481384008245e-01
