,GS,GS Volume,MS,MS Volume,JPM,JPM Volume,AXP,AXP Volume,TRV,TRV Volume
0,91.07,-0.009475278657933742,55.220001,-0.056163519890652124,36.349998,-0.06303258983080347,31.405764,-0.00658737992722226,43.619999,-0.10470115425526595
1,92.449997,-0.028002338205611394,56.82,0.02229857801067288,37.32,-0.0023879401904273725,31.904684000000003,-0.024049400752638707,43.349998,-0.10674070622295431
2,96.75,0.03265622131462333,59.639998999999996,0.1206257013043382,39.0,-0.00026441221302448065,33.016315000000006,0.02333270018072134,43.490002000000004,-0.09262345955965062
3,95.75,-0.01839542486955719,59.189999,-0.046924857363688115,38.900002,-0.024831650289259353,32.911282,0.010137295835849793,42.849998,-0.07329205395286542
4,92.5,0.03431737598311824,57.950001,-0.021257153501479976,38.599998,-0.07118824096479591,32.429867,-0.01670283250125941,42.419998,-0.10545490172158556
5,93.75,0.02084226149321899,58.389998999999996,0.07516901042449727,38.709998999999996,-0.1066489017822534,32.517395,-0.018365699230400673,42.119999,-0.03971038742401425
6,93.0,-0.019023493949164805,58.950001,-0.06359627101831247,39.139998999999996,-0.08958045022362426,33.060081,-0.014947797639325097,41.5,-0.06587872593118081
7,91.150002,-0.008645679624433338,57.560001,-0.06283588727123725,38.34,-0.06655258189724225,32.753727000000005,-0.02389962753685,40.849998,-0.05612434695528003
8,89.970001,-0.01857738880850893,56.360001000000004,-0.07082942141236558,37.310001,-0.0779825276457426,31.729626,0.059593179757053444,40.509997999999996,-0.0863274513115692
9,89.900002,-0.02538049220351106,57.849998,-0.01773087387441861,37.869999,-0.04932868909351396,33.042576000000004,0.024050843548733845,41.169998,-0.00470990213503205
10,88.629997,-0.014092858184020896,55.869999,-0.031783716000052656,36.509997999999996,0.116148544781956,32.070992,0.001573340163828972,40.599998,-0.02173572725660434
11,89.860001,-0.02050268467870798,57.639998999999996,-0.04208216337450276,36.849998,0.026566752384573802,32.52615,-0.038642688444871495,40.529999,-0.07347827391513262
12,89.209999,-0.026869465940524757,56.619999,-0.07515885637227515,35.91,0.021068645118405515,32.403605999999996,-0.025343594950607774,40.450001,-0.04400231417341059
13,86.980003,-0.018352379636686886,55.349998,-0.08099004923265829,35.759997999999996,-0.06566506253006324,32.587418,-0.05398484221604781,39.5,-0.0003736372993816082
14,87.25,-0.02054964311456649,55.459998999999996,-0.03396506687447471,35.75,-0.044560152832569096,31.904684000000003,-0.015623697279807459,40.799999,0.14772443840654484
15,85.5,0.004056577275294544,54.400002,-0.0069476818612080465,35.900002,-0.06839029855301122,32.167274,-0.029506522281760494,42.48,0.12303699198026502
16,87.300003,0.009208309009272287,55.25,-0.06612929937575682,34.990002000000004,0.08771783962995035,32.377346,-0.05580132249984416,43.900002,0.09632772882079849
17,87.849998,-0.025149613227206703,54.990002000000004,-0.0324538041771627,34.310001,0.08205175553440072,31.764637,0.03562946523086065,43.560001,-0.04543886816804325
18,84.480003,0.029065857572941153,52.0,0.12044511016440783,32.049999,0.185798758170657,30.145332,0.12032429858994012,43.25,0.054463707779682465
19,86.0,0.05199918368534265,52.599998,0.21641029144372073,33.060001,0.3109013821900512,30.898090000000003,0.15734516526181488,43.450001,0.03360707200575641
20,86.980003,-0.0011577657064945513,55.0,0.17241258687858038,34.049999,0.04523223738075388,31.379504999999998,0.0261169458588447,44.700001,-0.008452036614877626
21,85.400002,-0.02362542066329912,53.41,-0.01093019173651455,32.16,0.08177847979704898,30.723029999999998,-0.02493267869190543,44.919998,-0.06820204165089537
22,82.5,0.015682703353264826,50.419998,0.07202292267097352,30.559998999999998,0.05557158729670374,29.252525,0.002495021491759464,44.110001000000004,-0.07185549995823276
23,81.040001,-0.01137905191169764,49.439999,0.0962649070074156,29.02,0.4580841843640939,30.197848999999998,0.03172000026488882,44.209998999999996,0.024517764323667042
24,81.900002,0.006167750287433544,48.919998,0.055978825607686224,29.440001000000002,0.2274219122212388,28.797371000000002,0.07591846027802228,45.040001000000004,-0.033307967768923
25,81.110001,0.0005953492322232833,48.599998,0.08110950844852248,30.07,0.16665190673804084,28.928665000000002,0.012629675760128498,46.049999,0.030370391709207516
26,83.800003,-0.004816610500470389,51.759997999999996,0.033918192145666194,31.120001000000002,0.12861142267530876,29.628904,-0.010773349291573244,47.290001000000004,-0.04450776835670727
27,84.849998,-0.030113511217750393,52.150002,-0.04167345711044983,31.84,0.06290991833549743,29.340055,0.008996715192535809,47.25,-0.10689145571621822
28,83.5,-0.03575243672376022,50.799999,-0.018020770177991044,31.49,-0.06608375104508837,28.876146000000002,-0.0016871075337251437,47.27,-0.1196874274091499
29,84.58000200000001,-0.030354173201525274,51.349998,0.06242783026256799,30.25,0.25105900994373526,29.768953000000003,0.045506816795182425,48.380001,-0.026178403499264605
30,85.110001,-0.009811814114919755,52.060001,-0.003354868656277598,30.209999,0.1693244933070036,30.267874,0.048513802127555655,48.150002,-0.08545842482098895
31,82.760002,-0.007902171056673542,49.880001,-0.022074566029585848,30.049999,0.15554036483030811,29.480103999999997,-0.022017861492325246,47.990002000000004,-0.09640106450849947
32,78.519997,0.04186007474289196,47.040001000000004,0.122607451445153,29.030001000000002,0.07358522191020997,29.103725,-0.030144018533579085,46.939999,-0.12697660878932304
33,80.599998,0.019233935065064905,47.77,0.13362826337932457,29.41,0.09843325707436588,29.620152,-0.009843987285909997,47.009997999999996,-0.08617670181830528
34,79.470001,-0.0025880413986851063,47.700001,0.058221957661558146,29.139999,-0.01940624941192776,29.252525,0.004326863131021316,46.5,-0.10462134570000858
