,MCK,MCK Volume,A,A Volume,PFE,PFE Volume,AMGN,AMGN Volume,CVS,CVS Volume
0,37.470001,-0.042263975999525076,20.922747,-0.030780816655782712,39.900002,-0.03533369953478975,56.400002,0.007239830859564274,14.8,-0.006468284784824875
1,37.349998,-0.09016793806818693,22.246064999999998,0.025680832067444734,39.700001,-0.041725168400138506,54.34,0.1073460734830323,14.8,0.007552256105034485
2,36.599998,-0.04394459170145189,23.447782999999998,0.12091677359079453,39.400002,-0.04429048252806215,55.619999,0.10171273539511971,14.815,-0.0023709577667837835
3,36.360001000000004,-0.13291459088360774,23.354792,0.05380530492133089,39.700001,-0.044759536298959623,55.689999,0.043571035330406946,14.77,0.005914673102758193
4,35.599998,0.05861145349857031,23.426323,-0.013551872403917127,39.59,-0.051121289648750325,56.540001000000004,-0.008011975813143658,14.77,-0.008624772689057028
5,35.110001000000004,0.012734493574217123,22.868382999999998,-0.03296285621088276,40.049999,-0.0431406049196952,55.77,0.029863834628721227,14.65,-0.014208054653608089
6,34.799999,0.21602484786988282,22.689556,-0.07801188796693147,41.009997999999996,-0.04211109395662673,56.490002000000004,-0.021848678539838857,14.5,-0.01548846934674593
7,35.84,-0.04618968901318617,22.203148000000002,-0.06888032747584051,40.599998,-0.055531974907406134,57.099998,-0.0034629228619014003,14.375,-0.01672171086697869
8,36.700001,-0.003853568277625346,21.759657,-0.027168532686415406,40.52,-0.05069699722407322,55.5,-0.021570837831636692,14.395,-0.037471167920512444
9,35.860001000000004,0.001534665270536941,21.781116,-0.046128439408881367,40.41,-0.04152806801846226,56.259997999999996,-0.02661082118677854,14.135,0.008980929341588286
10,35.860001000000004,-0.03919781452807082,20.643776000000003,-0.010295315891431678,40.23,-0.046382605281656185,55.689999,0.0010614069754754107,14.045,-0.006138072574489326
11,37.049999,0.005203795734285546,21.008582999999998,-0.06837790828416201,40.130001,-0.04987925632757673,55.799999,0.013511260743432677,14.0,-0.036699549592279376
12,36.950001,-0.0366191599014503,20.37196,-0.04154432269648631,40.099998,-0.04384249292009191,54.330002,0.03618235615804762,13.955,-0.03650074836360798
13,38.939999,0.13336677941557423,19.427753,-0.061820787738752124,40.799999,-0.04531058984696668,56.060001,0.02899970293456703,13.875,0.011686647758929566
14,39.25,0.08346147345759496,20.028612,-0.028576773340463168,41.799999,-0.02169503018517343,58.459998999999996,0.07944662813144351,13.975,-0.036069450782761546
15,39.0,-0.054284868462925226,20.593706,-0.08817395789496883,41.5,-0.0415126460420334,57.209998999999996,0.06554635168338002,13.78,-0.00031218572071214955
16,39.259997999999996,-0.10694843683246377,20.786839,-0.0545705487464281,41.700001,-0.04244247837696408,57.060001,-0.024723623495049418,14.015,-0.034499258027492506
17,39.220001,-0.033642802322465415,21.194563,-0.03565831683777105,41.57,-0.05892142440985774,56.299999,-0.026229378858568787,13.94,-0.032420268907318694
18,38.150002,-0.13167016551653216,20.922747,-0.0608782933426837,40.98,-0.03720276784881506,54.5,0.02146386237015148,13.365,-0.0041871249236293
19,38.200001,-0.10525499200304134,21.058654999999998,-0.044727533341573436,41.25,-0.040826932309598676,55.040001000000004,0.03983431326331509,13.445,0.008205941501004857
20,38.5,-0.06263663046257677,21.709585,-0.04038912528496275,41.669998,-0.046995722881145265,55.5,0.0012015046207129439,13.6,0.002710266857563228
21,38.200001,-0.0782625077522474,21.180258,-0.08515944274489784,42.150002,-0.056011936905533785,57.880001,0.0935329165790661,12.9,0.011366544085645107
22,37.150002,-0.08036648466152982,20.443491,-0.08456900851234135,41.150002,-0.05099302394235414,56.369999,-0.006609822069631875,13.285,0.009392009848332541
23,37.5,0.04641095325023142,19.427753,0.0028666000131970107,41.990002000000004,-0.05003686140376442,56.68,0.04722299243567441,13.51,0.030478418136902566
24,36.889998999999996,0.017801998934988798,19.298998,-0.005447154056402666,41.290001000000004,-0.05096706988446166,56.439999,0.0158446517758763,13.065,-0.012526667990777082
25,36.950001,-0.06163595851791806,18.876966,-0.045681029617751605,40.060001,-0.033302888541144625,56.009997999999996,-0.011143570236100285,13.445,0.020093581073084604
26,36.450001,-0.03744022406117027,18.583691,0.01727172837022724,40.700001,-0.04283178924535132,57.900002,0.002981568819025132,13.405,-0.015141409574658567
27,36.75,-0.12127857224507634,19.127325,-0.03630376047087627,40.91,-0.06093154738634218,57.639998999999996,-0.016766312703784814,13.725,-0.010046706900910104
28,37.09,-0.11159258098587983,18.712446,-0.02082778244983056,41.18,-0.05610371647257387,59.0,0.01993809305731246,13.95,0.008734954940011806
29,37.299999,-0.11287549373544228,19.213161,-0.03353495397658966,41.09,-0.05504448999394733,58.919998,-0.025895028175817028,13.97,-0.026159714960344724
30,37.5,-0.07813421647729116,19.527897,-0.02766728458472399,40.799999,-0.04743807030261714,58.0,-0.011529721728855838,14.04,-0.02782762357377428
31,36.939999,-0.08418956465522592,19.670958,-0.0383207718243301,41.110001000000004,-0.053984511223787675,58.189999,0.018488847668342683,13.99,-0.03537533123858682
32,36.040001000000004,-0.10557572019043195,18.633762,-0.0553920224612893,40.48,-0.05920917592127439,56.900002,-0.03435151040893637,13.7,0.023591134892761125
33,36.02,-0.07722334842510183,20.643776000000003,0.11613829032979392,40.950001,-0.05110774840115424,58.950001,-0.010605548186742699,13.74,-0.04193577178474307
34,36.060001,-0.12266411801460378,20.143061,-0.017626235337893856,40.599998,-0.0513394541933538,57.59,0.03684988023241469,13.695,-0.015323363241578155
