,AAPL,AAPL Volume,TRV,TRV Volume,GD,GD Volume,PFE,PFE Volume,UL,UL Volume
0,1.6642860000000002,-0.000455132723628263,43.619999,-0.10470115425526595,40.005001,-0.0031177964316264975,39.900002,-0.03533369953478975,18.538889,-0.07960323415318597
1,1.684286,0.030869748380446413,43.349998,-0.10674070622295431,40.5,-0.012817890188344503,39.700001,-0.041725168400138506,18.377777,-0.11549998186086656
2,1.692143,-0.045830925950468615,43.490002000000004,-0.09262345955965062,41.404999,-0.013035795630122377,39.400002,-0.04429048252806215,18.166666,-0.07950067201687831
3,1.635714,-0.03269207938991605,42.849998,-0.07329205395286542,41.974998,0.017649252489325258,39.700001,-0.044759536298959623,17.972220999999998,-0.07642380792764855
4,1.615,-0.03062132913911052,42.419998,-0.10545490172158556,41.099998,-0.020655882897142513,39.59,-0.051121289648750325,17.944445,-0.07621868365503323
5,1.546429,-0.07701548927574127,42.119999,-0.03971038742401425,40.5,0.017107790482483273,40.049999,-0.0431406049196952,17.950001,-0.07574006035226416
6,1.516429,-0.02959658414846548,41.5,-0.06587872593118081,39.634997999999996,0.04682216890673857,41.009997999999996,-0.04211109395662673,17.877777,-0.08291940989380027
7,1.503571,-0.0690556443691541,40.849998,-0.05612434695528003,38.700001,0.04732401174234822,40.599998,-0.055531974907406134,17.838888,-0.02798029221166436
8,1.510714,-0.04354544697755697,40.509997999999996,-0.0863274513115692,38.799999,0.01577394505099448,40.52,-0.05069699722407322,17.833334,-0.08920988758733668
9,1.55,-0.09125774382414607,41.169998,-0.00470990213503205,38.625,0.025064640704978304,40.41,-0.04152806801846226,18.0,-0.09826954296117987
10,1.484286,0.013742475258794072,40.599998,-0.02173572725660434,37.634997999999996,0.0670807717968753,40.23,-0.046382605281656185,17.938889,-0.0983037303399491
11,1.6057139999999999,0.04930878013120246,40.529999,-0.07347827391513262,37.849998,0.03400536701307645,40.130001,-0.04987925632757673,18.083334,-0.045142356353812606
12,1.5835709999999998,-0.07284847645071166,40.450001,-0.04400231417341059,38.759997999999996,0.04797112487247644,40.099998,-0.04384249292009191,18.083334,0.049248996428002734
13,1.558571,-0.07721320978223503,39.5,-0.0003736372993816082,39.375,0.020138657081757314,40.799999,-0.04531058984696668,18.288889,-0.08196216328826213
14,1.6442860000000001,-0.033187443669626206,40.799999,0.14772443840654484,39.575001,0.08465847743362365,41.799999,-0.02169503018517343,18.272223,0.036941540071083676
15,1.657857,-0.07087764946662878,42.48,0.12303699198026502,41.689999,0.06700153345441061,41.5,-0.0415126460420334,18.227777,-0.10090197112640979
16,1.660714,-0.13089539030876451,43.900002,0.09632772882079849,42.0,0.04637975482797744,41.700001,-0.04244247837696408,17.927778,-0.09881654102148739
17,1.662143,-0.13069341774836768,43.560001,-0.04543886816804325,42.955002,0.008378366420957607,41.57,-0.05892142440985774,17.894444,-0.08144935260672383
18,1.647857,-0.11023891244754629,43.25,0.054463707779682465,42.275002,0.012287457982548527,40.98,-0.03720276784881506,17.505556,-0.04736453597381188
19,1.7207139999999999,-0.02244462948346567,43.450001,0.03360707200575641,42.674999,0.055644037701139695,41.25,-0.040826932309598676,17.888889000000002,-0.05276614181934858
20,1.765714,-0.02363307854937973,44.700001,-0.008452036614877626,44.779999,0.09527641532389088,41.669998,-0.046995722881145265,18.177778,-0.04083474662889094
21,1.743571,-0.0502615661174899,44.919998,-0.06820204165089537,44.724998,0.11347482130994589,42.150002,-0.056011936905533785,18.333334,-0.09881654102148739
22,1.810714,-0.003159439005994422,44.110001000000004,-0.07185549995823276,44.490002000000004,0.0584305860778143,41.150002,-0.05099302394235414,18.388889000000002,-0.07960323415318597
23,1.817857,-0.028021198177370102,44.209998999999996,0.024517764323667042,44.125,0.05711655023194168,41.990002000000004,-0.05003686140376442,18.122223,-0.05714212630180869
24,1.762143,0.025390976926313084,45.040001000000004,-0.033307967768923,44.0,0.007051124184674204,41.290001000000004,-0.05096706988446166,18.127777,-0.06305654282888368
25,1.735714,-0.0694234470317715,46.049999,0.030370391709207516,42.950001,0.021221581095441287,40.060001,-0.033302888541144625,18.111110999999998,-0.11584185564855876
26,1.716429,-0.06657669694365177,47.290001000000004,-0.04450776835670727,43.849998,0.025051434314567522,40.700001,-0.04283178924535132,18.138889000000002,-0.11112399737840645
27,1.784286,-0.05014888668905798,47.25,-0.10689145571621822,44.355,-0.026994950294316977,40.91,-0.06093154738634218,18.477777,0.04087308862954393
28,1.765,-0.11632997966372477,47.27,-0.1196874274091499,44.09,-0.028817432171004635,41.18,-0.05610371647257387,18.611110999999998,-0.018305264019975214
29,1.786429,-0.08269623329027144,48.380001,-0.026178403499264605,44.174999,-0.024016909256686057,41.09,-0.05504448999394733,18.894444,-0.04821922044304237
30,1.7571430000000001,-0.10270427293126824,48.150002,-0.08545842482098895,44.185001,-0.03418582987298676,40.799999,-0.04743807030261714,18.711111,-0.0920474400251819
31,1.707143,-0.1026978948504136,47.990002000000004,-0.09640106450849947,45.014998999999996,-0.0008793132569992651,41.110001000000004,-0.053984511223787675,18.855556,-0.07290250791441892
32,1.6157139999999999,-0.05331666684686111,46.939999,-0.12697660878932304,44.790001000000004,-0.022154808208766058,40.48,-0.05920917592127439,18.555555,-0.08657745942210678
33,1.6521430000000001,-0.09310951329894239,47.009997999999996,-0.08617670181830528,46.235001000000004,-0.014897896678042375,40.950001,-0.05110774840115424,18.844444,-0.054680635030424876
34,1.535714,-0.03186930695966786,46.5,-0.10462134570000858,46.084998999999996,0.003425970016915058,40.599998,-0.0513394541933538,18.883333,-0.0843552798021075
