,AAPL,IBM,ORCL,AMZN,MSFT,GS,MS,JPM,AXP,TRV,MCK,A,PFE,AMGN,CVS,GE,DE,GD,CAT,UTX,EL,UL,NKE,HAS,SNE
0,30.572857,132.449997,24.85,133.899994,30.950001,173.080002,30.91,42.849998,40.919998,49.810001,63.360001000000004,22.389128,18.93,57.720001,32.98,15.45,56.060001,69.190002,58.549999,71.629997,24.27,32.119999,16.3375,32.540001000000004,30.02
1,30.625713,130.850006,24.82,134.690002,30.959999,176.139999,32.040001000000004,43.68,40.830002,48.630001,63.59,22.145924,18.66,57.220001,32.849998,15.53,55.849998,69.300003,59.25,70.559998,24.174999,31.42,16.4025,32.18,29.879998999999998
2,30.138571000000002,130.0,24.459999,132.25,30.77,174.259995,32.450001,43.919998,41.490002000000004,47.939999,61.0,22.067239999999998,18.6,56.790001000000004,32.560001,15.45,55.700001,69.239998,59.43,70.190002,24.25,31.25,16.3025,32.150002,29.85
3,30.082857,129.550003,24.379998999999998,130.0,30.450001,177.669998,32.919998,44.790001000000004,41.98,48.630001,61.130001,22.038626,18.530001000000002,56.27,33.759997999999996,16.25,56.099998,69.440002,59.669998,70.489998,24.555,31.030001000000002,16.4625,31.690001000000002,29.799999
4,30.282858,130.850006,24.68,133.520004,30.66,174.309998,32.25,44.68,41.950001,48.560001,60.77,22.031473000000002,18.68,56.77,34.0,16.6,57.630001,69.440002,60.34,70.629997,24.655001000000002,31.18,16.43,31.77,30.41
5,30.015715000000004,129.479996,24.690001000000002,130.309998,30.27,171.559998,32.040001000000004,44.529999,41.470001,48.540001000000004,61.459998999999996,22.04578,18.83,57.02,33.93,16.76,59.950001,70.730003,64.129997,72.160004,24.889999,31.23,16.227501,31.74,30.6
6,29.674286,130.509995,24.559998999999998,127.349998,30.07,167.820007,31.129998999999998,43.490002000000004,42.02,48.849998,62.32,21.781116,18.77,56.029999,33.560001,16.77,57.389998999999996,70.300003,62.240002000000004,71.739998,24.780001000000002,31.42,16.205,31.24,31.57
7,30.092857000000002,130.229996,24.799999,129.110001,30.35,169.070007,31.26,44.25,42.150002,49.02,62.509997999999996,21.952789000000003,19.209999,56.529999,33.970001,16.83,58.290001000000004,71.07,62.330002,72.559998,24.985001,31.59,16.35,31.690001000000002,33.16
8,29.918571000000004,132.309998,25.34,127.349998,30.959999,168.529999,31.200001,44.689999,42.68,49.279999,61.990002000000004,22.281832,19.379998999999998,56.16,33.950001,16.700001,58.349998,71.099998,61.98,72.809998,24.950001,31.82,16.247498999999998,32.02,33.73
9,29.418571000000004,131.779999,25.24,127.139999,30.860001,165.21000700000002,30.379998999999998,43.68,42.389998999999996,48.790001000000004,61.919998,21.766809,19.49,56.25,33.91,16.440001000000002,56.330002,70.610001,60.119999,71.989998,24.879998999999998,31.540001,16.0975,32.16,33.34
10,30.719998999999998,134.139999,25.33,127.610001,31.1,166.860001,31.16,43.279999,42.959998999999996,49.43,63.16,22.031473000000002,20.0,57.549999,33.950001,16.540001,57.66,70.690002,60.93,72.290001,24.995001000000002,32.310001,16.1775,32.330002,33.990002000000004
11,30.247142999999998,130.25,25.059998999999998,125.779999,30.59,167.78999299999998,30.629998999999998,43.400002,42.98,48.93,62.400002,21.909872,19.940001000000002,57.200001,33.849998,16.5,56.110001000000004,69.360001,59.759997999999996,71.43,24.52,31.98,16.045,32.259997999999996,33.25
12,29.724285,129.0,24.83,126.620003,30.01,160.869995,29.34,40.540001000000004,42.16,48.950001,61.330002,21.831188,19.24,56.630001,33.240002000000004,16.02,55.450001,68.139999,56.849998,70.129997,26.764999,31.389999,15.91,32.099998,34.360001000000004
13,28.25,125.5,24.15,121.43,28.959999,154.119995,27.799999,39.16,38.59,48.310001,60.57,20.865522,18.959999,56.599998,33.240002000000004,16.110001,53.02,67.019997,54.25,69.08000200000001,26.584999,30.92,15.745,31.290001,34.18
14,29.01,126.120003,24.030001000000002,120.309998,29.32,154.979996,27.74,39.209998999999996,37.790001000000004,48.889998999999996,61.439999,21.065808999999998,18.85,55.709998999999996,33.040001000000004,16.370001000000002,53.689999,67.860001,55.139998999999996,68.589996,26.584999,31.049999,15.9175,31.42,34.799999
15,29.42,125.75,23.879998999999998,119.480003,29.5,150.880005,27.33,38.439999,38.099998,50.23,62.349998,20.951359,18.780001000000002,56.580002,32.810001,16.35,53.41,68.720001,55.849998,68.470001,26.775,30.9,15.935,31.280001000000002,33.5
16,29.697144,126.33000200000001,23.860001,122.75,29.67,151.5,27.950001,39.330002,38.669998,50.900002,59.52,20.865522,19.0,57.740002000000004,32.470001,16.299999,52.389998999999996,67.230003,53.439999,67.610001,26.82,30.91,16.0,31.49,33.240002000000004
17,28.469998999999998,123.75,23.469998999999998,126.029999,29.16,153.28999299999998,27.49,39.48,37.43,50.27,60.310001,20.522175,18.629998999999998,58.080002,32.330002,16.16,51.110001000000004,67.599998,51.860001000000004,67.370003,26.52,30.790001,15.88,31.540001,33.799999
18,27.437143,122.389999,23.059998999999998,125.410004,28.18,148.720001,26.780001000000002,38.939999,37.66,50.669998,58.82,20.050072,18.66,58.48,32.369999,16.08,49.950001,66.849998,52.240002000000004,67.480003,26.26,30.52,15.9375,30.549999,33.23
19,27.818571000000002,124.66999799999999,23.219998999999998,118.870003,28.41,153.130005,27.559998999999998,39.630001,38.209998999999996,50.689999,59.529999,20.83691,18.790001,58.720001,32.919998,16.25,51.349998,69.43,52.939999,67.550003,26.9,30.540001,16.025,31.190001000000002,34.209998999999996
